slug,icono,modo,detallado
nantes,fas fa-heart,En pareja,"Paseos por la Isla de Nantes, atardeceres junto al Loira y cenas creativas en barrios emergentes."
nantes,fas fa-users,En familia,"Las Máquinas de la Isla, parques urbanos y museos interactivos para todas las edades."
nantes,fas fa-wallet,Fin de semana económico,"Recorre la ciudad en tranvía, disfruta de parques y eventos culturales gratuitos."
nantes,fas fa-compass,Experiencia insólita,"Explora Nantes alternativo: arte urbano, antiguas fábricas y rutas creativas."
angers,fas fa-heart,En pareja,"Paseos románticos por el Maine, visitas al castillo y cenas en restaurantes tradicionales."
angers,fas fa-users,En familia,"El Castillo de Angers y el Tapiz del Apocalipsis, parques urbanos y actividades culturales."
angers,fas fa-wallet,Fin de semana económico,"Recorre el centro histórico, parques y museos gratuitos o de bajo coste."
angers,fas fa-compass,Experiencia insólita,"Explora túneles, bodegas subterráneas y rutas históricas menos turísticas."
saumur,fas fa-heart,En pareja,"Vistas románticas del castillo, paseos junto al Loira y catas de vino locales."
saumur,fas fa-users,En familia,"Castillo de Saumur, museos ecuestres y rutas fáciles en bicicleta."
saumur,fas fa-wallet,Fin de semana económico,"Rutas a pie, mercados locales y miradores gratuitos sobre el Loira."
saumur,fas fa-compass,Experiencia insólita,"Descubre bodegas trogloditas, cuevas y experiencias vinícolas únicas."
tours,fas fa-heart,En pareja,"Ambiente animado junto al Loira, cenas en el casco antiguo y paseos nocturnos por la Place Plumereau."
tours,fas fa-users,En familia,"Museos interactivos, parques urbanos y rutas en bicicleta junto al río Loira."
tours,fas fa-wallet,Fin de semana económico,"Disfruta del centro histórico, parques y eventos gratuitos sin necesidad de coche."
tours,fas fa-compass,Experiencia insólita,"Descubre Tours alternativo: galerías locales, rutas gastronómicas y paseos en bici al atardecer."
amboise,fas fa-heart,En pareja,"Paseos románticos por el río Loira, visitas al castillo al atardecer y cenas con vistas en restaurantes del casco histórico."
amboise,fas fa-users,En familia,"Actividades familiares como el Clos Lucé de Leonardo da Vinci, paseos en barco por el Loira y visitas al castillo real."
amboise,fas fa-wallet,Fin de semana económico,"Recorre el casco antiguo a pie, disfruta de miradores gratuitos sobre el Loira y visita mercados locales sin gastar demasiado."
amboise,fas fa-compass,Experiencia insólita,"Descubre Amboise desde otro punto de vista: rutas nocturnas, talleres de Leonardo da Vinci, catas de vino y eventos culturales locales."
blois,fas fa-heart,En pareja,"Paseos por el casco histórico al atardecer, visita romántica al Castillo de Blois y cenas tranquilas con vistas al Loira."
blois,fas fa-users,En familia,"Descubre el Castillo de Blois con actividades educativas, pasea por jardines y disfruta de museos accesibles para niños."
blois,fas fa-wallet,Fin de semana económico,"Recorre el casco antiguo a pie, disfruta de miradores gratuitos y mercados locales sin gastar mucho."
blois,fas fa-compass,Experiencia insólita,"Explora Blois de noche, rutas históricas menos conocidas y eventos culturales en el castillo."
chinon,fas fa-heart,En pareja,"Callejear por el casco medieval, vistas al río Vienne y cenas íntimas en bodegas locales."
chinon,fas fa-users,En familia,"Visitas al castillo de Chinon, rutas sencillas y actividades al aire libre."
chinon,fas fa-wallet,Fin de semana económico,"Disfruta del casco antiguo, rutas naturales y miradores sin coste."
chinon,fas fa-compass,Experiencia insólita,"Descubre Chinon a través del vino, rutas medievales y paseos nocturnos."
orleans,fas fa-heart,En pareja,"Paseos por el casco histórico, rutas junto al Loira y cenas tranquilas en el centro."
orleans,fas fa-users,En familia,"Museos dedicados a Juana de Arco, parques urbanos y paseos fluviales."
orleans,fas fa-wallet,Fin de semana económico,"Descubre la ciudad a pie, disfruta de parques y actividades culturales gratuitas."
orleans,fas fa-compass,Experiencia insólita,"Rutas históricas alternativas, visitas nocturnas y paseos por la ribera menos conocida."
